,ric
922,US197949023=
923,US207840572=
924,US207840971=
925,US195864829=
926,US195864608=
927,DE223744796=
928,DE223743447=
929,DE101395537=
930,DE101395600=
931,DE102610920=
932,DE102610954=
933,DE193620825=
934,DE193620841=
935,DE210135707=
936,DE215232905=
937,GB198210790=
938,GB189666098=
939,GB171915457=
940,GB111282994=
941,GB106953929=
942,GB171915465=
943,GB214788942=
944,GB214788969=
945,GB189666217=
946,GB189666187=
947,IT223790135=
948,IT117810585=
949,IT165286600=
950,IT020371293=
951,IT032843000=
952,IT060521433=
953,IT185891291=
954,IT150313171=
955,IT198027081=
956,IT203335199=
957,IT220902340=
958,US197925922=
959,US087366570=
960,US111087482=
961,US117013774=
962,US205508996=
963,US218993133=
964,NL123479769=
965,NL187143934=
966,NL034997586=
967,NL199112643=
968,NL206896906=
969,NL0014075509=
970,NL029318433=
971,NL041393599=
972,NL041393734=
973,NL0014676546=TE
974,NL195695598=
975,DECZ45V8=
976,DECZ40LR=
977,DECZ40L6=
978,DECZ40MC=
979,DECZ40MM=
980,DECZ40K0=
981,DECZ45VB=
982,DECZ45VM=
983,DECZ40NW=
984,DECZ40NG=
985,IT210496840=
986,IT175421394=
987,IT432907=
988,IT140017990=
989,IT053444962=
990,US223315534=
991,US223315526=
992,US223315453=
993,US157467239=
994,US148564361=
995,US119783313=
996,US111267898=
997,US119783291=
998,US119783305=
999,US195502471=
1000,US195502498=
1001,US137434466=
1002,US086631008=
1003,US107601830=
1004,US190711889=
1005,US119638003=
1006,US099314885=
1007,US162986643=
1008,US086159465=
1009,US218000851=
1010,US218000908=
1011,US218000754=
1012,190712079=
1013,US205136231=
1014,US205136207=
1015,US205136126=
1016,FR0013213295=
1017,FR0013213303=
1018,FR0013368545=
1019,FR016299022=
1020,FR040974920=
1021,FR0010800540=
1022,FR0010891317=
1023,FR0010961540=
1024,FR0010961581=
1025,FR0011182641=
1026,FR0011225143=
1027,FR082759638=
1028,FR099749342=
1029,FR0011408657=TE
1030,FR0013465424=
1031,IE223133134=
1032,IE223133096=
1033,IE158047675=
1034,IE153911428=
1035,FR0011561000=
1036,FR0013201308=
1037,FR0012601367=
1038,FR0013302809=
1039,FR0013344215=
1040,FR0012939841=
1041,FR0013015559=
1042,FR0013396876=
1043,FR0013494168=
1044,FR0013506862=
1045,FR0013517711=
1046,US222987598=
1047,US176793058=
1048,US195949816=
1049,US201357420=
1050,US205233750=
1051,US201357438=
1052,US211672889=
1053,AU168152078=
1054,AU110974477=
1055,AU123950232=
1056,AU202147089=
1057,AU199707736=
1058,AU215288340=
1059,US127344990=
1060,US117667111=
1061,US145760801=
1062,US179525267=
1063,US145760828=
1064,US106887497=
1065,US110772700=
1066,US112814884=
1067,US117379205=
1068,US127344086=
1069,US193935575=
1070,US127345830=
1071,US198006483=
1072,US222790620=
1073,US222790590=
1074,US159178145=
1075,US182330094=
1076,GB129246804=
1077,GB147665423=
1078,GB113527633=
1079,GB113527714=
1080,GB141140566=
1081,GB215441911=
1082,GB215441814=
1083,GB215441873=
1084,GB217038413=
1085,GB217038685=
1086,BE0002681626=
1087,BE184665662=
1088,BE0002266352=
1089,BE0002272418=
1090,BE6286238561=
1091,BE0002631126=
1092,BE0002645266=
1093,AU159433536=
1094,AU148455422=
1095,AU175034919=
1096,ID207375888=
1097,ID207375861=
1098,ID189133693=
1099,ID189557132=
1100,CL184343363=
1101,CL134665289=
1102,CL176040904=
1103,CL123668561=
1104,CL115158694=
1105,CL210898751=
1106,FR0013170834=
1107,FR0013262698=
1108,FR0013519279=
1109,BE132419116=
1110,BE132419051=
1111,BE205092099=
1112,AT069040624=
1113,AT083437146=
1114,AT083436786=
1115,AT173468962=
1116,AT202209351=
1117,AT191759087=
1118,AT191759095=
1119,AT202209343=
1120,AT215434770=
1121,AT215434842=
1122,AT215434729=
1123,AT218961398=
1124,AT218961401=
1125,US136602667=
1126,US136602691=
1127,US212609404=
1128,US212609374=
1129,GB210491503=
1130,GB220051307=
1131,GB195207836=
1132,GB100301709=
1133,GB187528470=
1134,GB128777920=
1135,GB167695248=
1136,GB215678709=
1137,GB215678717=
1138,US106152969=
1139,US117824250=
1140,US131049374=
1141,US140292141=
1142,US119088305=
1143,US145642213=
1144,US175295372=
1145,US082054782=
1146,US088361423=
1147,US093542797=
1148,US098436707=
1149,US103497540=
1150,US111044945=
1151,US117446913=
1152,SE019115496=
1153,SE041720905=
1154,XS2009891479=
1155,SE213339052=
1156,FR220934454=
1157,FR178546775=
1158,FR196383000=
1159,FR208147404=
1160,DE161928321=
1161,DE182513571=
1162,DE140016535=
1163,DE081169055=
1164,DE112117776=
1165,DE188822924=
1166,DE214928094=
1167,DE217655862=
1168,XS2210045584=TE
1169,NL048561675=
1170,NL051350995=
1171,NL059360612=
1172,NL098801421=
1173,NL124158109=
1174,NL143238440=
1175,NL163289792=
1176,NL143238466=
1177,NL124158117=
1178,NL163289776=
1179,NL150556813=
1180,NL182803782=
1181,NL182803758=
1182,US171624509=
1183,US094069718=
1184,US140842176=
1185,US203547412=
1186,US123727142=
1187,US140326429=
1188,US123727100=
1189,US140326372=
1190,US172563341=
1191,US140326437=
1192,US172563074=
1193,US059250531=
1194,US085766244=
1195,US093498399=
1196,US100455129=
1197,US107599576=
1198,US196374523=
1199,US196374426=
1200,US145840856=
1201,US186120663=
1202,US150900638=
1203,US179620901=
1204,US126580509=
1205,US136237322=
1206,US161419826=
1207,US088284950=
1208,US103297834=
1209,US107414487=
1210,US111626332=
1211,US117384543=
1212,US204367884=
1213,US210733264=
1214,US214920735=
1215,US161784508=
1216,US137584115=
1217,US161784567=
1218,US137595567=
1219,US137584123=
1220,US194511060=
1221,US099109963=
1222,US099109017=
1223,US114316318=
1224,US211509201=
1225,US211509171=
1226,US211509180=
1227,US194511086=
1228,US194445601=
1229,US194445610=
1230,GB137595729=
1231,GB163786362=
1232,GB137595656=
1233,GB149267115=
1234,GB119097355=
1235,GB119097401=
1236,GB163786354=
1237,GB152712677=
1238,GB185127796=
1239,GB185127877=
1240,GB097216568=
1241,GB104050611=
1242,GB104050689=
1243,GB111447713=
1244,GB111447357=
1245,GB199293150=
1246,GB199292790=
1247,GB208101676=
1248,GB213580116=
1249,GB213579967=
1250,GB213579720=
1251,DE185885674=
1252,DE016148849=
1253,DE044174081=
1254,DE055372870=
1255,DE087579751=
1256,DE035148957=
1257,ES150555477=
1258,ES154217754=
1259,ES196177256=
1260,ES202058361=
1261,ES211228920=
1262,ES217744199=
1263,ES217744229=
1264,ES219767528=
1265,FR169381852=
1266,FR144399722=
1267,FR169381828=
1268,FR144399781=
1269,FR187412277=
1270,FR187412226=
1271,FR083019450=
1272,FR099499141=
1273,FR099499028=
1274,FR104851967=
1275,FR113931558=
1276,FR200438167=
1277,FR200438124=
1278,FR215340686=
1279,FR215340902=
1280,FR217660530=
1281,FR217656931=
1282,FR0013386372=
1283,FR0013396637=
1284,FR0013375284=
1285,FR181513624=
1286,FR031310288=
1287,FR031552885=
1288,FR0013429925=
1289,FR179099047=
1290,FR0013201423=
1291,FR0013055290=
1292,FR063741779=
1293,FR0013154481=
1294,FR0013212974=
1295,FR153828423=
1296,FR0013192739=
1297,FR201680786=
1298,FR0013043999=
1299,FR0013244696=
1300,FR0013242500=
1301,FR0013262284=
1302,FR0013092541=
1303,FR0013348877=
1304,FR0013182342=
1305,FR0013234689=
1306,FR0012534931=
1307,FR0013064706=
1308,FR0012770261=
1309,FR0013415411=
1310,FR195830746=
1311,NO119062411=
1312,NO119062403=
1313,NO119062420=
1314,NO151522246=
1315,NO151522238=
1316,NO041684852=
1317,NO096957220=
1318,NO100497972=
1319,NO217883342=
1320,NO217883369=
1321,US161254282=
1322,US161254312=
1323,US161254339=
1324,US022956744=
1325,US123890116=
1326,US123890205=
1327,US161254266=
1328,US079515108=
1329,DE187412781=
1330,DE187412803=
1331,DE187412790=
1332,DE089972701=
1333,DE089972990=
1334,DE195518785=
1335,DE204961654=
1336,DE204961646=
1337,DE204961689=
1338,DE204961662=
1339,DE211827653=
1340,DE211828021=
1341,DE211827602=
1342,DE211827360=
1343,DE218204929=
1344,DE218205488=
1345,DE218205518=
1346,DE195518769=
1347,DE195518793=
1348,DE195518777=
1349,DE093230710=
1350,DE088866720=
1351,DE137499428=
1352,DE182350265=
1353,DE154838759=
1354,DE171841810=
1355,DE171841771=
1356,DE149769196=
1357,DE182350257=
1358,DE086068311=
1359,DE088356071=
1360,DE088539958=
1361,DE101783324=
1362,DE218231888=
1363,DE218231934=
1364,DE196027793=
1365,DE173090366=
1366,DE173089945=
1367,DE074639054=
1368,DE090343165=
1369,DE139775937=
1370,DE193612296=
1371,DE193611001=
1372,DE210134913=
1373,DE210135260=
1374,DE102326857=
1375,DE219926669=
1376,DE219926626=
1377,DE219926600=
1378,DE219926561=
1379,FR055481946=
1380,FR078562404=
1381,FR082572724=
1382,FR089420296=
1383,FR094238846=
1384,FR103870852=
1385,FR107405577=
1386,FR112117733=
1387,FR0013332970=
1388,FR161956899=
1389,FR121836327=
1390,FR137661411=
1391,FR0013332996=
1392,FR140119725=
1393,FR0013332988=
1394,FR161956830=
1395,FR152319258=
1396,FR0013333002=
1397,FR121831970=
1398,FR140119695=
1399,FR156984540=
1400,FR0013405032=
1401,FR0013456621=
1402,FR0013431715=
1403,FR0013405040=
1404,DE195744483=
1405,DE195744114=
1406,DE168177003=
1407,DE182077887=
1408,DE186398564=
1409,DE186398602=
1410,DE186398556=
1411,DE114008010=
1412,DE114008460=
1413,DE111730873=
1414,DE111730857=
1415,DE121271842=
1416,DE111730687=
1417,DE111730652=
1418,DE111730644=
1419,DE111730806=
1420,DE217671531=
1421,DE217671558=
1422,DE217671566=
1423,FR101957578=
1424,FR084294136=
1425,FR107449825=
1426,FR0013153822=
1427,FR124157722=
1428,FR143273296=
1429,FR143269230=
1430,FR143273270=
1431,FR157604040=
1432,FR201534887=
1433,FR215005445=
1434,FR215005364=
1435,FR087002292=
1436,FR087002250=
1437,FR094887364=
1438,FR094887488=
1439,FR100339366=
1440,FR100339374=
1441,FR141042602=
1442,FR0011769090=
1443,FR0013299435=
1444,FR0013240835=
1445,FR0013368206=
1446,FR0013329315=
1447,FR0013428414=
1448,FR0013451416=
1449,FR099370602=
1450,FR110773862=
1451,FR110774346=
1452,FR0013324332=
1453,FR0013201639=
1454,FR0012969020=
1455,FR0013144003=
1456,FR0013143997=
1457,FR0013324357=
1458,FR0012969038=
